Query,Spike Percentage,Trend Data
The Essential Allotment Guide How to Get the Best Out of Your Plot,514.04%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100"
Dolphin E10 Robotic Pool Cleaner,514.04%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100"
Bee You Organics  Organic Makeup  Skin Care,514.04%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0"
Oklar Blood Pressure Monitors for Home Use Rechargeable Blood Pressure Cuff Wrist Digital Bp Machine,514.04%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0"
TR42 Honeywell Temperature Sensors,514.04%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100"
Autopsy of a Fairytale,257.14%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 82, 0, 0, 0, 100"
Union  Scale FlexFit Hyken Mesh Task Chair,192.86%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 82, 0"
Apple Watch For Dummies,164.15%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 76, 0, 0, 0, 0, 0, 0, 0, 75, 0, 0, 100, 0"
Bobbi Brown Foundation Brush,142.24%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 98, 67, 53, 52, 0, 0, 0, 65, 91"
Eufy Smart Plug,113.89%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 61, 0, 77, 0"
Solar cell phone charger,100.45%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 42, 29, 42, 30, 30, 28, 28, 36, 69, 60, 48, 93, 100"
StepbyStep Projects for SelfSufficiency Grow Edibles  Raise Animals  Live Off the Grid  DIY,84.21%,"0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5"
Dopesplay,74.13%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 68, 0, 0, 0, 0, 0, 0, 91, 69, 0, 100"
Keeks Designer Handbags,71.52%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 49, 67, 100, 71, 92, 49, 0, 0, 65, 88, 65"
Kimberly Palmer,59.34%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 96, 76, 93, 100, 74, 0, 0, 0, 78, 0, 0, 94, 91, 83"
Dallas Designer Handbags,42.46%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 38, 37, 48, 68, 74, 86, 41, 47, 56, 84, 100, 62"
Mini survival kit,37.48%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 100, 49, 64, 82, 0, 84, 47, 53, 0, 80, 81, 72"
Philips Hue Smart Plug,35.73%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 57, 68, 44, 60, 73, 65, 76, 79, 66, 70, 74, 100, 97"
Crafty Critters,33.09%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 51, 55, 72, 42, 80, 63, 38, 54, 46, 48, 54, 100, 58"
Football boot,33.01%,"56, 85, 74, 75, 61, 60, 55, 70, 89, 96, 63, 50, 52, 59, 77, 90, 100, 65, 57, 58, 52, 59, 85, 81, 62, 57, 58, 59, 56, 89, 90"
Womens Scarf,32.21%,"60, 55, 47, 53, 61, 29, 78, 58, 63, 47, 53, 54, 69, 82, 72, 52, 100, 64, 60, 54, 58, 59, 69, 81, 64, 62, 62, 63, 63, 87, 93"
Luxury Bedding Company,31.79%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 78, 0, 0, 65, 0, 61, 68, 82, 0, 65, 100, 62, 63, 75"
Mens Scarf,31.77%,"57, 59, 75, 80, 50, 66, 60, 51, 82, 47, 62, 43, 75, 71, 77, 100, 90, 65, 55, 58, 64, 60, 74, 80, 74, 68, 66, 66, 71, 90, 99"
DIY Bath Bomb,29.82%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 48, 48, 56, 51, 60, 67, 56, 43, 62, 68, 48, 53, 100"
Stellar Kayaks,29.43%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 95, 63, 67, 70, 59, 59, 83, 100, 81, 0, 63, 0, 73, 0"
Squats  with bands,28.49%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 86, 65, 54, 58, 64, 43, 89, 80, 100, 0, 60, 57, 81, 48"
Monster Smart Lighting,26.11%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 24, 27, 28, 32, 55, 41, 39, 31, 60, 100, 39, 43, 75"
Berhasm,25.37%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 54, 52, 48, 0"
Smart thermostat,24.61%,"64, 63, 62, 59, 65, 60, 69, 59, 61, 67, 62, 69, 74, 98, 92, 85, 88, 83, 73, 69, 65, 67, 63, 77, 77, 78, 78, 79, 82, 96, 100"
Kids Bedroom Furniture,24.52%,"0, 63, 100, 0, 0, 0, 95, 67, 74, 81, 0, 68, 0, 66, 0, 0, 70, 58, 54, 48, 50, 52, 71, 73, 55, 45, 57, 50, 57, 70, 78"
Watch,22.47%,"69, 84, 84, 70, 63, 61, 65, 74, 97, 98, 73, 83, 78, 70, 72, 92, 97, 70, 70, 65, 65, 74, 91, 100, 70, 68, 67, 69, 73, 91, 99"
Womens Handbag,22.42%,"60, 0, 0, 100, 62, 80, 66, 0, 94, 76, 60, 50, 0, 69, 0, 91, 84, 54, 59, 54, 50, 50, 65, 74, 61, 60, 56, 49, 57, 69, 80"
Locs Sunglasses,22.16%,"0, 0, 60, 0, 0, 58, 0, 0, 68, 0, 59, 0, 0, 79, 0, 0, 100, 32, 29, 37, 34, 33, 37, 48, 29, 35, 21, 36, 36, 44, 45"
Kids Outdoor Furniture,22.15%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 59, 59, 51, 63, 92, 100, 64, 42, 54, 58, 74, 86, 81"
Solar Charger,21.20%,"92, 85, 82, 100, 80, 80, 66, 70, 86, 88, 77, 73, 74, 83, 73, 97, 77, 77, 76, 77, 64, 78, 81, 82, 77, 76, 79, 74, 81, 97, 99"
Womens Watch,21.14%,"59, 79, 83, 73, 62, 60, 56, 67, 100, 80, 56, 58, 58, 54, 55, 78, 79, 54, 50, 54, 53, 57, 72, 83, 57, 52, 52, 56, 58, 69, 80"
Amazon Smart Thermostat,20.56%,"0, 0, 0, 0, 100, 0, 0, 0, 95, 0, 0, 0, 0, 0, 0, 0, 0, 48, 47, 46, 41, 51, 64, 56, 43, 44, 45, 47, 50, 62, 62"
Makeup brush,20.00%,"90, 93, 94, 91, 79, 86, 63, 71, 100, 100, 77, 77, 71, 78, 72, 90, 90, 74, 73, 74, 74, 80, 95, 93, 80, 74, 75, 73, 78, 98, 100"
Air Fryers,18.76%,"90, 100, 80, 82, 67, 71, 71, 68, 93, 96, 77, 61, 65, 77, 70, 81, 70, 73, 70, 66, 64, 71, 84, 94, 68, 60, 66, 82, 69, 88, 92"
Kids Furniture,18.68%,"76, 96, 94, 88, 66, 63, 61, 56, 98, 100, 58, 67, 53, 55, 56, 90, 70, 69, 64, 61, 60, 62, 85, 85, 67, 61, 63, 60, 67, 83, 84"
Designer Luggage Outlet,18.24%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 82, 0, 0, 65, 0, 0, 98, 0, 79, 0, 78, 76, 100, 0"
Weighted blanket,17.86%,"74, 77, 85, 72, 74, 74, 76, 68, 82, 82, 78, 73, 67, 76, 85, 88, 100, 76, 71, 69, 71, 68, 75, 85, 76, 70, 69, 75, 75, 86, 95"
Jade Rollers,17.73%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 79, 61, 64, 54, 98, 81, 79, 77, 72, 45, 60, 69, 93"
Womens Sunglasses,17.70%,"53, 74, 100, 92, 71, 76, 51, 54, 84, 73, 54, 51, 50, 67, 54, 78, 73, 57, 54, 51, 48, 51, 75, 70, 58, 51, 47, 46, 47, 69, 60"
Air fryer,17.22%,"60, 75, 84, 83, 71, 69, 65, 61, 80, 95, 73, 69, 67, 65, 61, 76, 100, 75, 73, 71, 63, 65, 78, 89, 76, 69, 69, 71, 62, 81, 95"
Designer Luggage,16.85%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 57, 49, 48, 46, 49, 71, 69, 55, 48, 42, 56, 44, 62, 67"
Smart Plug,16.67%,"68, 71, 83, 73, 75, 71, 66, 66, 81, 82, 73, 69, 62, 78, 66, 80, 86, 72, 71, 70, 64, 71, 84, 89, 77, 78, 74, 71, 75, 82, 100"
Mens Watch,16.67%,"70, 82, 81, 84, 69, 67, 67, 72, 99, 100, 68, 68, 63, 68, 68, 83, 82, 68, 66, 61, 64, 68, 83, 89, 71, 71, 67, 66, 72, 85, 87"
Cell Phone Wireless Charger,16.56%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 76, 65, 59, 57, 95, 75, 77, 75, 68, 100, 74, 88, 92"
Gaming chair,16.15%,"73, 88, 100, 86, 76, 71, 65, 70, 90, 92, 73, 72, 65, 72, 75, 91, 92, 78, 71, 74, 73, 74, 94, 88, 78, 70, 72, 75, 74, 90, 96"
Inflatable Kayak,15.71%,"70, 73, 100, 89, 67, 46, 31, 49, 84, 75, 51, 39, 46, 45, 59, 45, 51, 41, 37, 34, 33, 35, 49, 54, 40, 32, 30, 30, 29, 42, 39"
Portable Grills,15.59%,"100, 80, 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 92, 0, 0, 41, 34, 35, 36, 34, 50, 43, 40, 37, 39, 29, 27, 45, 41"
The Survival Handbook,15.32%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 71, 79, 100, 69, 96, 76, 45, 58, 60, 61, 41, 65, 78"
Framed Wall Art,15.04%,"57, 65, 100, 96, 94, 76, 61, 65, 76, 87, 68, 64, 63, 57, 55, 85, 89, 66, 68, 60, 58, 63, 73, 86, 72, 65, 58, 63, 57, 70, 86"
Compost Bins,15.02%,"41, 42, 53, 43, 37, 100, 37, 37, 47, 50, 63, 77, 46, 51, 37, 67, 82, 44, 47, 51, 47, 43, 47, 51, 45, 42, 38, 37, 35, 47, 51"
MTB Direct,14.77%,"0, 0, 0, 0, 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 65, 60, 58, 58, 50, 54, 61, 60, 50, 59, 44, 44, 61, 68"
Metal Wall Art,14.75%,"61, 83, 100, 75, 66, 78, 60, 58, 79, 72, 70, 48, 65, 51, 54, 64, 84, 59, 61, 57, 57, 57, 71, 74, 60, 55, 53, 55, 52, 64, 76"
Action figure,14.72%,"85, 92, 92, 91, 73, 77, 76, 76, 100, 98, 77, 64, 73, 65, 77, 93, 93, 78, 72, 75, 74, 81, 91, 98, 75, 72, 72, 76, 76, 95, 92"
Bath bomb,14.71%,"80, 98, 86, 88, 80, 76, 58, 75, 88, 88, 73, 72, 80, 98, 89, 90, 100, 79, 81, 71, 82, 80, 93, 94, 83, 80, 80, 76, 82, 97, 98"
Wall Art  Decor,14.27%,"69, 98, 88, 100, 72, 79, 66, 68, 87, 80, 78, 76, 65, 77, 61, 78, 96, 74, 68, 67, 65, 69, 90, 93, 77, 69, 64, 64, 63, 77, 88"
Junior Golf Club,14.18%,"62, 0, 100, 68, 89, 66, 0, 0, 76, 64, 62, 0, 0, 91, 0, 60, 81, 47, 46, 40, 38, 43, 44, 53, 47, 39, 33, 39, 36, 42, 53"
Candles,14.14%,"73, 81, 94, 84, 75, 71, 74, 77, 88, 95, 77, 70, 71, 76, 76, 85, 96, 80, 76, 79, 73, 81, 93, 99, 86, 84, 80, 82, 79, 96, 100"
Shane Co,13.81%,"85, 97, 60, 74, 89, 85, 56, 93, 97, 69, 72, 75, 93, 70, 79, 100, 87, 79, 74, 73, 70, 74, 95, 94, 79, 78, 69, 70, 69, 92, 86"
Fishing Kayak,13.64%,"72, 80, 96, 100, 81, 53, 70, 63, 63, 76, 72, 62, 51, 54, 62, 70, 61, 64, 55, 50, 50, 54, 71, 76, 58, 52, 46, 47, 46, 57, 63"
Video Baby Monitor,13.49%,"53, 98, 100, 64, 61, 66, 67, 71, 0, 70, 61, 0, 78, 66, 46, 58, 74, 68, 62, 56, 61, 55, 68, 70, 65, 59, 58, 56, 53, 68, 75"
Succulents,13.45%,"94, 90, 100, 98, 92, 79, 73, 72, 99, 99, 80, 75, 70, 77, 73, 83, 98, 75, 73, 70, 68, 71, 92, 95, 72, 75, 64, 66, 66, 86, 81"
Canvas Wall Art,13.27%,"78, 93, 87, 98, 76, 76, 70, 72, 64, 95, 80, 62, 72, 68, 67, 82, 88, 76, 72, 68, 64, 67, 85, 100, 74, 70, 64, 67, 68, 81, 88"
Wireless Charger,13.20%,"75, 79, 77, 80, 73, 79, 69, 68, 86, 81, 73, 72, 72, 73, 71, 86, 83, 79, 76, 73, 77, 79, 98, 95, 85, 83, 82, 89, 86, 100, 96"
Coffee grinder,13.00%,"74, 97, 91, 97, 74, 82, 78, 83, 91, 100, 88, 74, 71, 82, 80, 95, 87, 79, 74, 75, 72, 85, 91, 91, 77, 76, 73, 76, 78, 88, 97"
Junior Tennis Racquet,12.85%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 63, 55, 96, 69, 91, 100, 58, 60, 73, 53, 44, 89, 55"
Hiking Backpack,12.54%,"64, 92, 91, 93, 81, 87, 77, 70, 81, 100, 90, 68, 68, 85, 62, 67, 100, 77, 70, 68, 64, 69, 77, 92, 73, 67, 62, 61, 65, 76, 82"
Portable Grill,12.47%,"69, 99, 100, 100, 61, 54, 58, 56, 75, 70, 47, 52, 41, 48, 55, 73, 66, 55, 50, 49, 49, 51, 67, 66, 56, 48, 47, 51, 50, 64, 61"
Baby Carrier,11.95%,"72, 78, 78, 76, 72, 71, 62, 66, 82, 82, 62, 68, 65, 67, 65, 84, 77, 75, 68, 70, 68, 71, 100, 85, 75, 68, 64, 67, 65, 79, 84"
Automatic Dog Feeder,11.77%,"58, 0, 0, 0, 53, 0, 56, 70, 0, 0, 70, 74, 0, 0, 100, 0, 0, 52, 48, 50, 47, 52, 62, 58, 49, 46, 49, 48, 46, 57, 61"
Wall Art,11.66%,"71, 89, 95, 95, 81, 77, 73, 75, 90, 99, 78, 74, 73, 67, 75, 86, 95, 82, 74, 78, 72, 75, 93, 100, 83, 75, 72, 74, 72, 87, 93"
Halloween Throw Pillow,11.63%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 86, 71, 73, 73, 49, 82, 100, 78, 73, 78, 72, 52, 82, 85"
Packing cube,11.11%,"83, 77, 87, 70, 92, 62, 54, 74, 71, 100, 74, 56, 70, 44, 51, 48, 86, 62, 67, 61, 55, 60, 64, 74, 65, 61, 58, 59, 53, 66, 74"
BlackboxMyCar,11.02%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 94, 0, 100, 41, 77, 82, 76, 63, 44, 71, 43, 60, 64, 79"
Mens Sunglasses,11.02%,"93, 93, 100, 97, 79, 77, 63, 62, 94, 99, 74, 70, 57, 67, 61, 86, 96, 75, 71, 67, 63, 66, 80, 86, 71, 65, 59, 56, 59, 70, 73"
Baby monitor,10.98%,"75, 84, 97, 87, 79, 76, 83, 79, 95, 94, 71, 78, 80, 76, 79, 96, 92, 82, 76, 73, 73, 77, 89, 100, 88, 80, 75, 73, 75, 89, 93"
Handbag,10.94%,"86, 93, 98, 86, 81, 81, 77, 76, 97, 100, 73, 73, 76, 77, 80, 95, 98, 79, 73, 76, 81, 81, 90, 95, 82, 75, 74, 78, 79, 90, 94"
Outdoor Throw Pillow,10.77%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 84, 93, 87, 52, 70, 59, 100, 70, 58, 65, 58, 53, 57, 87"
Sunglasses,10.48%,"86, 97, 100, 85, 77, 73, 68, 72, 90, 92, 72, 65, 64, 69, 71, 89, 86, 73, 67, 66, 66, 71, 84, 85, 71, 64, 62, 63, 67, 78, 78"
Baltic Watches,10.42%,"38, 55, 47, 57, 36, 51, 42, 48, 47, 46, 65, 63, 39, 35, 43, 43, 55, 92, 100, 80, 84, 58, 53, 57, 50, 42, 43, 44, 42, 51, 55"
Mobile Phone Case,10.39%,"74, 63, 60, 86, 64, 47, 54, 45, 90, 79, 58, 54, 46, 72, 100, 80, 75, 71, 67, 71, 70, 77, 89, 86, 78, 80, 73, 81, 83, 85, 91"
Throw pillow,10.37%,"79, 96, 89, 87, 78, 85, 78, 73, 86, 100, 79, 69, 78, 87, 74, 92, 94, 80, 79, 76, 69, 69, 86, 89, 79, 66, 70, 67, 68, 81, 85"
Candle,10.22%,"76, 84, 83, 80, 78, 77, 73, 80, 89, 95, 79, 77, 73, 76, 82, 95, 92, 81, 79, 81, 77, 80, 89, 100, 90, 82, 82, 85, 82, 95, 96"
Tote Handbag,9.92%,"78, 53, 81, 100, 67, 84, 72, 66, 81, 82, 55, 79, 71, 62, 75, 61, 63, 58, 58, 58, 59, 56, 65, 70, 57, 54, 55, 58, 52, 62, 71"
A Stranger in the House,9.85%,"0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 47, 40, 44, 40, 42, 40, 58, 44, 50, 46, 38, 50, 52"
Smartwatch,9.74%,"79, 83, 92, 82, 77, 81, 79, 76, 78, 93, 81, 83, 78, 79, 78, 80, 82, 86, 83, 84, 83, 83, 90, 97, 89, 88, 87, 90, 91, 98, 100"
Bike Lock,9.64%,"84, 100, 99, 91, 82, 97, 83, 76, 93, 94, 80, 77, 77, 81, 67, 86, 91, 87, 77, 74, 73, 73, 85, 88, 74, 70, 69, 64, 63, 76, 81"
Garmin Venu 2 Plus,9.54%,"59, 61, 100, 72, 71, 54, 75, 50, 74, 60, 58, 79, 55, 58, 52, 63, 52, 63, 49, 51, 55, 56, 57, 68, 55, 56, 51, 51, 52, 65, 59"
webcam sex,9.54%,"79, 84, 86, 74, 73, 67, 79, 78, 83, 100, 84, 80, 80, 81, 80, 79, 92, 76, 73, 79, 73, 72, 83, 86, 76, 73, 70, 71, 72, 87, 83"
Cat Automatic Feeder,9.38%,"85, 100, 74, 91, 65, 71, 73, 73, 62, 90, 78, 58, 76, 70, 76, 65, 86, 66, 65, 66, 62, 63, 73, 76, 64, 64, 67, 66, 64, 71, 79"
Home Workout  No Equipment,9.33%,"80, 0, 0, 0, 0, 75, 0, 89, 0, 83, 74, 0, 77, 0, 100, 0, 83, 67, 65, 69, 58, 67, 55, 72, 78, 65, 61, 60, 58, 65, 78"
Camping Tent,9.22%,"88, 93, 100, 88, 85, 71, 66, 70, 79, 82, 70, 66, 64, 64, 61, 69, 80, 71, 66, 59, 63, 59, 68, 80, 70, 61, 56, 54, 50, 62, 66"
Maton,8.96%,"57, 66, 62, 70, 76, 56, 71, 81, 81, 100, 62, 61, 65, 53, 59, 65, 70, 65, 58, 54, 61, 56, 59, 64, 85, 57, 64, 60, 57, 66, 73"
Bath Bombs For Kids,8.59%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 70, 79, 71, 66, 82, 100, 83, 83, 68, 75, 88, 83, 94"
Baby  Kids Furniture,8.28%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 55, 56, 59, 56, 100, 88, 51, 41, 61, 54, 58, 75, 61"
Garmin Venu,8.13%,"87, 93, 98, 94, 80, 86, 78, 78, 84, 100, 83, 79, 77, 78, 77, 88, 90, 85, 82, 81, 75, 79, 87, 98, 88, 81, 76, 73, 73, 83, 90"
Anil Lamba,8.02%,"0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 11, 10, 8, 8, 8, 18, 9, 6, 10, 13, 11, 11, 14, 11"
ONE Macau,7.78%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 84, 80, 68, 100, 87, 81, 74, 86, 81, 90, 92, 96, 90, 98"
Travel Pillows,7.64%,"0, 73, 96, 84, 58, 65, 86, 63, 82, 88, 95, 76, 0, 92, 0, 100, 0, 72, 72, 71, 69, 68, 75, 96, 74, 77, 73, 61, 66, 77, 78"
Garmin Enduro 2,7.47%,"100, 90, 91, 61, 61, 73, 0, 56, 51, 53, 71, 52, 0, 0, 38, 86, 63, 57, 57, 52, 59, 53, 52, 61, 52, 44, 40, 39, 42, 48, 47"
Clothing,6.90%,"84, 100, 96, 90, 83, 82, 81, 83, 95, 96, 85, 83, 82, 83, 84, 94, 97, 86, 79, 79, 83, 80, 96, 92, 87, 84, 86, 83, 83, 91, 95"
RV Solar Panel,6.37%,"0, 0, 86, 0, 0, 79, 100, 0, 0, 0, 94, 85, 0, 88, 80, 91, 0, 65, 74, 68, 73, 70, 72, 81, 81, 62, 67, 72, 66, 75, 80"
Kids Travel Pillow,6.30%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 29, 25, 19, 31, 25, 28, 35, 26, 26, 24, 20, 24, 27, 27"
Girls Handbag,6.17%,"0, 0, 100, 76, 0, 0, 63, 0, 0, 0, 0, 0, 0, 68, 0, 0, 82, 37, 44, 34, 38, 37, 45, 49, 38, 33, 38, 37, 37, 43, 43"
Options as a Strategic Investment,6.16%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 39, 100, 57, 47, 64, 62, 64, 67, 50, 56, 57, 62, 62"
Video Doorbell,6.14%,"76, 100, 91, 78, 76, 78, 68, 72, 79, 83, 77, 70, 70, 70, 63, 71, 84, 68, 67, 68, 71, 67, 78, 75, 75, 69, 69, 69, 66, 75, 78"
Baby Tula,6.06%,"54, 76, 79, 66, 60, 67, 67, 55, 100, 53, 54, 79, 70, 69, 46, 80, 72, 63, 57, 72, 69, 71, 80, 71, 63, 56, 54, 56, 56, 62, 64"
Chicago Electric Power Tools,5.88%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 64, 39, 57, 73, 100, 76, 78, 70, 56, 65, 70, 72, 72"
Ferkos Fine Jewelry,5.83%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 68, 84, 74, 85, 64, 83, 95, 72, 72, 84, 68, 100, 66"
Streetwear,5.64%,"81, 90, 91, 84, 84, 82, 86, 84, 92, 91, 88, 86, 92, 81, 85, 94, 98, 90, 88, 88, 86, 84, 86, 100, 86, 88, 85, 87, 87, 96, 94"
Smart lock,5.48%,"100, 93, 91, 85, 84, 89, 79, 81, 91, 88, 86, 90, 84, 84, 77, 89, 86, 91, 85, 87, 87, 83, 91, 93, 89, 87, 80, 83, 80, 89, 92"
Camping tents,5.39%,"73, 83, 100, 84, 100, 87, 70, 71, 73, 66, 77, 63, 57, 64, 61, 76, 73, 74, 62, 61, 60, 59, 67, 78, 72, 64, 60, 57, 55, 62, 67"
Mountain bike,4.96%,"70, 83, 89, 82, 69, 68, 65, 67, 77, 88, 70, 68, 63, 66, 63, 78, 78, 72, 65, 60, 63, 62, 78, 78, 70, 62, 59, 56, 100, 74, 74"
Travel Pillow,4.88%,"84, 76, 95, 95, 82, 76, 72, 66, 89, 100, 79, 77, 76, 68, 66, 77, 91, 76, 70, 70, 73, 75, 84, 88, 82, 71, 71, 67, 77, 80, 79"
Birthday Candle,4.86%,"76, 84, 75, 78, 84, 85, 60, 73, 86, 100, 77, 79, 70, 93, 84, 88, 78, 77, 76, 74, 73, 75, 89, 82, 76, 79, 73, 75, 74, 82, 82"
Green Murder,4.74%,"51, 68, 70, 98, 88, 62, 64, 90, 100, 55, 56, 91, 39, 78, 52, 71, 88, 73, 72, 67, 71, 73, 69, 90, 71, 77, 91, 74, 73, 75, 86"
Oscillating multitool,4.35%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 75, 71, 71, 86, 99, 100, 88, 64, 68, 56, 72, 73, 71"
Natural Hair Care,4.32%,"63, 70, 100, 80, 59, 46, 57, 65, 49, 71, 38, 66, 62, 53, 50, 67, 58, 52, 56, 50, 53, 53, 70, 55, 54, 54, 50, 51, 56, 63, 53"
Kayak,3.99%,"93, 99, 99, 100, 90, 80, 79, 77, 84, 90, 83, 78, 73, 74, 73, 78, 81, 84, 81, 78, 71, 72, 80, 82, 78, 74, 69, 68, 63, 70, 76"
Toothbrush,3.90%,"91, 93, 97, 94, 97, 92, 89, 87, 94, 100, 90, 92, 84, 85, 86, 93, 97, 89, 91, 91, 86, 91, 95, 100, 96, 91, 91, 89, 85, 94, 98"
Protein powder for kids,3.77%,"0, 0, 0, 0, 100, 0, 71, 0, 70, 94, 92, 81, 0, 0, 0, 0, 0, 53, 58, 57, 50, 47, 55, 64, 55, 50, 53, 47, 50, 49, 61"
Charging station,3.62%,"55, 93, 100, 56, 53, 52, 49, 50, 53, 60, 55, 52, 53, 60, 73, 100, 88, 67, 56, 55, 56, 59, 67, 65, 61, 57, 57, 57, 59, 62, 64"
Buycycle,3.58%,"66, 50, 87, 68, 72, 64, 64, 73, 74, 85, 100, 77, 68, 67, 80, 46, 63, 65, 61, 56, 58, 59, 56, 75, 73, 68, 62, 63, 58, 58, 75"
