Query,Spike Percentage,Trend Data
GameSir T4 Pro Upgrade PC Controller SemiTransparent Wireless Gaming Controller for SwitchWindows PC,0.00%,
Geedar Large Trunk Organizer Car Organizers and Storage for Suv 3 Comp,0.00%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0"
Dtydtpe Cleaning Supplies Aluminum Foil Wall Paper SelfAdhesive Backsplash Heat Kitchen Wallpaper,0.00%,
OSIM Massage Chairs Back  Foot Massagers  Richmond Centre,0.00%,
Intex Zx300 Deluxe Pool Cleaner,0.00%,
Allinless 10pcs HEPA Filter Sponge Replacements for NeabotNeakasa P1 Pro Pet Grooming Kits  Vacuum C,0.00%,
Logitech Z207 Bluetooth Speakers,0.00%,"0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0"
XREAL Air AR Glasses,0.00%,"100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 22, 24, 26, 25, 24, 24, 25, 22, 26, 32, 28, 27, 24"
Designer Skincare NZ,0.00%,
6 Professional Hair Cutting Scissor Dog Pet Grooming Kits Curved Shears Set UK,0.00%,
GameSir G7 SE Wired Controller for Xbox Series XS,0.00%,
Virtually Me,0.00%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 90, 100, 46, 58, 54, 49, 84, 81, 71, 70, 69, 49, 63"
Intelligent Building Control Systems A Survey of Modern Building Control and Sensing Strategies,0.00%,
Walking to the End of the World A Thousand Miles on the Camino De Santiago,0.00%,
LOUIS VUITTON My Monogram Antiblue Light Glasses,0.00%,
Elves in the Wardrobe,0.00%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
Chicka Chicka Ho Ho Ho,0.00%,"0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
Linkind,0.00%,"82, 0, 0, 82, 0, 97, 88, 100, 77, 0, 83, 90, 79, 98, 84, 73, 0, 90, 96, 96, 80, 82, 66, 61, 91, 90, 98, 86, 84, 63, 63"
Woods Canvas Waterproofing Spray For Camping Tents,0.00%,
Mio Cyclo Discover Cycling GPS Computer One Size Black Computers,0.00%,
She Believed She Could So She Did,0.00%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 70, 0, 0, 0, 38, 39, 38, 45, 32, 23, 25, 45, 44, 42, 41, 36, 33, 37"
CandleScience,0.00%,"100, 49, 68, 47, 75, 78, 61, 70, 98, 61, 0, 51, 58, 69, 85, 88, 75, 70, 62, 64, 60, 57, 63, 68, 65, 67, 66, 61, 65, 62, 63"
Best Coastal Homes,0.00%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 96, 100, 80, 55, 76, 84, 96, 82, 53, 64, 68, 0, 54"
Tarte Minutes to Mermaid Brush Set 5 Makeup Brushes,0.00%,
Better Brand Health Measures and Metrics for a How Brands Grow World,0.00%,
Everybodys Guide to Small Claims Court,0.00%,
Kawai Musical Instruments,0.00%,
Harrison Cameras,0.00%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 66, 100, 53, 57, 82, 88, 47, 59, 51, 81, 79, 62, 57"
Vocational Learning Centers A Link to Business and Industry,0.00%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
BYOL  Graphic and web design courses,0.00%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
Fitbit Sense Advanced Health Smartwatch,0.00%,
High on Design The New Cannabis Culture,0.00%,
Admission Ticket for Indonesian Passport Holders,0.00%,
Power tool,0.00%,"88, 86, 80, 92, 89, 91, 89, 82, 74, 76, 91, 97, 98, 91, 85, 72, 72, 88, 90, 91, 87, 85, 78, 73, 100, 93, 92, 90, 87, 80, 68"
Ring Interchangeable Faceplate,0.00%,
Toon Boom,0.00%,"56, 79, 75, 82, 85, 84, 91, 79, 58, 64, 96, 100, 68, 80, 94, 65, 60, 90, 93, 86, 87, 87, 78, 81, 97, 100, 92, 88, 80, 72, 75"
Sphygmomanometer,0.00%,"77, 59, 73, 68, 91, 81, 86, 85, 66, 68, 92, 100, 96, 92, 81, 67, 62, 74, 81, 84, 78, 76, 61, 63, 80, 88, 80, 82, 68, 59, 61"
Hacker in Love,0.00%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 53, 70, 100, 0, 0, 53, 55, 45, 54, 64, 50, 0, 58"
UnHide Marshmallow Blanket Vegan Fur Weighted Blankets Softest Blanket Ever,0.00%,
Luxurious Spa Suite with Jacuzzi Outdoor Sauna Plunge Pool and Steambath,0.00%,
My Beauty Spot Jade Rollers,0.00%,
Lifes A Beach Pilates PRO chair Max with Sculpting Handles  Shape Transform  Reform  Total gym Home ,0.00%,
Activity tracker,0.00%,"80, 72, 83, 75, 100, 93, 79, 76, 69, 81, 93, 83, 92, 75, 83, 60, 58, 82, 80, 81, 71, 76, 77, 81, 89, 83, 83, 89, 83, 78, 74"
Sony Wireless Noise Canceling Headphones,0.00%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 38, 37, 42, 34, 25, 39, 36, 34, 40, 35, 46, 33, 34, 33"
Portable Water Filters  Purifiers,0.00%,
Holiday Throw Pillow,0.00%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 89, 0, 0, 0, 0, 0, 94, 100, 0, 0, 0, 0, 0, 0"
Benefits of LED Light Therapy Masks,0.00%,
Lizzie Mandler Fine Jewelry,0.00%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
Garmin Computer Edge 1040,0.00%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 66, 0, 0, 92, 72, 0, 0, 0, 0, 0, 0"
Gearproz HydroCord Handle for Hydro Flask Water Bottles Wide Mouth Hydroflask 10 Iron Flask Thermofl,0.00%,
2BR House with Ocean View in Cabo,0.00%,
Wholesale Yoga Mats,0.00%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 6, 9, 0, 0, 0, 0, 0, 0, 7, 0, 6, 0, 0"
New Mini Brands Sneakers Capsule,0.00%,
Pulse oximeter,0.00%,"82, 81, 77, 83, 87, 86, 77, 89, 82, 71, 85, 91, 89, 92, 87, 100, 84, 89, 86, 87, 88, 89, 92, 85, 85, 94, 90, 86, 81, 88, 75"
Japanese Candlestick Charting Techniques A Contemporary Guide to the Ancient Investment Techniques o,0.00%,
Trading Options For Dummies,0.00%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 7, 6, 7, 6, 8, 5, 6, 8, 9, 7, 6, 8, 6, 5"
Vapor Fresh Natural Sports Deodorizing Spray for Gym and Fitness Equipment,0.00%,
Martha Stewarts Organizing The Manual for Bringing Order to Your Life Home  Routines,0.00%,
DREAM 3bdrs in Central Seminyak  Villa Madura,0.00%,
Brian Gluckstein,0.00%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 76, 0, 0, 0, 100, 0, 0"
2021 International Fire Code,0.00%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 5, 5, 4, 4, 4, 0, 0, 0, 5, 0, 6, 0, 0, 0"
Band assisted pullup,0.00%,
IdealShape Exante Ideal Shake Meal Replacement,0.00%,
Artengo Tennis rackets,0.00%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
Plastics Thermoplastic Jackets for Insulation Products for Building Equipment and Industrial Install,0.00%,
Glencoe Biology Student Edition,0.00%,
DK Eyewitness Italy 2020,0.00%,
Environment The Science Behind the Stories,0.00%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 77, 75, 0, 0, 84, 82, 0, 65, 71, 0, 0, 89"
Celcius Luxury Bedding,0.00%,
Number Household Digital Body Weight Scale Travel Portable Luggage Scales Suitcases Hook Spring Bala,0.00%,
NFPA 855 Standard for the Installation of Stationary Energy Storage Systems,0.00%,
Disposable Face Masks,0.00%,"0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 19, 25, 23, 20, 25, 20, 30, 26, 23, 26, 25, 22, 15"
Amanda Rustmann Custom Eyebrow Designer and Skincare,0.00%,
PING G430 Irons,0.00%,"67, 75, 100, 0, 0, 56, 51, 87, 76, 0, 0, 0, 65, 51, 69, 70, 0, 50, 51, 46, 49, 47, 53, 57, 46, 47, 52, 50, 45, 49, 48"
Roland GOPIANO88 88Key Digital Piano,0.00%,
Kmart 1 Compartment Meal Prep Containers,0.00%,
Hemp Clothing Australia,0.00%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 84, 100, 85, 0, 0"
VOLUAS Automatic Cat Feeders Dry Food Dispenser with Timer Desiccant Bag,0.00%,
Apple Magic Keyboard,0.00%,"90, 72, 79, 100, 90, 75, 90, 74, 83, 79, 93, 94, 90, 92, 96, 78, 85, 84, 83, 83, 81, 76, 80, 78, 81, 84, 88, 83, 83, 72, 81"
Nerrisa Pratt,0.00%,"0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
SAARC Passport Holders,0.00%,
There Is No Ethan How Three Women Caught Americas Biggest Catfish,0.00%,
Drawing,0.00%,"86, 70, 80, 73, 89, 93, 86, 86, 77, 83, 86, 91, 100, 96, 85, 71, 76, 83, 88, 88, 87, 80, 71, 79, 80, 92, 87, 93, 79, 71, 79"
Barbara Gothard,0.00%,
Birds in Flight Wall Art Calendar,0.00%,
HVAC Energy Saving,0.00%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 79, 76, 85, 0, 0, 0"
GreenStalk Garden,0.00%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 94, 0, 0, 0, 0"
Smart Helmets,0.00%,"0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 22, 16, 27, 23, 18, 28, 23, 16, 23, 21, 15, 22, 17"
Scrub Daddy Streakless Cloths Perfect for Glass and Reusable A Better Alternative to Paper towels,0.00%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0"
Local Content Requirements A Global Problem,0.00%,
FuseBox EV Distribution Units for Electric Vehicle Chargers100A MS  SPD 40A,0.00%,
Mini Keyboard Wireless Bluetooth Foldable Keyboards Rechargeable,0.00%,
Designer Vertical Gardens,0.00%,
Bestek MRJ2604 30Watt Mini Travel Power Adapters 2 Pack,0.00%,
Jailhouse Strong Interval Training,0.00%,
Stylish 2R2B Apt Near the Beach and Main Street,0.00%,
Quay Australia Jezabell Blue Light Glasses in Pink Gold,0.00%,
A Promise of Fire,0.00%,"0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 23, 31, 25, 35, 29, 30, 30, 32, 27, 27, 26, 25, 19"
Cordless Power Tool,0.00%,"100, 0, 80, 95, 0, 0, 0, 0, 0, 0, 81, 0, 0, 83, 0, 0, 0, 45, 44, 49, 42, 51, 50, 41, 50, 45, 40, 51, 43, 43, 42"
iRobot Roomba Authentic Replacement Parts Lithium Ion Battery for Roomba e  i Series Robot Vacuums,0.00%,
Speediance Gym Monster The Most Powerful Smart Home Gym No Installation All In One Workout Equipment,0.00%,
123pcs Car snow removal tools Car microwave molecular deicer Car aromatherapy snow removal and deici,0.00%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
The Logic of American Politics,0.00%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 49, 63, 51, 90, 0, 0, 100, 62, 56, 0, 56, 0, 0"
Bored of Lunch Healthy Air Fryer 30 Minute Meals THE NO1 BESTSELLER,0.00%,
UPDESK HeightAdjustable Standing Desks,0.00%,
Bontrager RIDEtime Elite Cycling Computer,0.00%,
Drone Accessories Australia,0.00%,
Autonomous ErgoChair Ergonomic Chairs,0.00%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0"
Russ Clune,0.00%,
Computer Monitor Stand,0.00%,"0, 64, 58, 73, 76, 58, 79, 60, 78, 73, 68, 100, 71, 67, 57, 0, 0, 66, 64, 69, 72, 60, 60, 66, 61, 60, 71, 70, 56, 57, 57"
360 Rotating Long Range Sprinkler Garden Irrigation Tool Rotary Lawn Care Tools,0.00%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0"
Bobby Hundreds,0.00%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 54, 54, 66, 83, 55, 62, 47, 39, 51, 56, 68, 56, 0"
Cozy and Central apartment 1br1ba with Pool,0.00%,
Rock Climbing Connecticut,0.00%,
Feel Free Kayaks,0.00%,
Blue Light Glasses,0.00%,"80, 84, 81, 79, 86, 96, 88, 77, 78, 92, 90, 89, 91, 94, 84, 82, 78, 94, 88, 94, 88, 84, 77, 80, 96, 92, 100, 90, 81, 77, 78"
Dreo Evaporative Air Cooler 40 Cooling Fans that Blow Cold Air,0.00%,
Villa 3681 ft classified 4 Stars on 25 acres  Provence,0.00%,
Vertical Gardens Australia,0.00%,
Premium Protein Powder  Meal Replacement Shakes for Women LadyBoss LEAN,0.00%,
The I Love Trader Joes Cookbook 150 Delicious Recipes Using Favorite Ingredients from the Greatest G,0.00%,
Rocky Mountain Bicycles,0.00%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 87, 0, 0, 78, 0, 85, 0, 74, 100, 85, 0, 0, 0, 0"
Digital Portable Luggage Scales Luggage Scales Crane Scales Mobile Scales Travel Scales With Tare Fu,0.00%,
HOME Repair KITS Granite  Marble Acrylic Repair DIY Kit,0.00%,
Up To 50 OffYODETEY Portable Tire Inflators Car Tire Air Pump Portable 150Psi Compresor AIr Pump For,0.00%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0"
OSIM Massage Chairs Back  Foot Massagers  Brea Mall,0.00%,
Anker 511 PowerHouse Portable Power Station,0.00%,
Modern Rug Hooking 22 Punch Needle Projects for Crafting a Beautiful Home,0.00%,
HEATSTRIP Outdoor Heaters,0.00%,
Assistant General Superintendent,0.00%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0"
Wireless keyboard,0.00%,"60, 58, 53, 61, 65, 67, 65, 62, 64, 56, 65, 100, 63, 62, 63, 59, 52, 68, 63, 66, 89, 61, 59, 55, 68, 65, 64, 63, 62, 65, 59"
Kenwood Corporation,0.00%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 0, 0, 0, 0, 0, 92, 100, 0, 0, 0"
Greenwild The City Beyond the Sea,0.00%,
Semiconductorbased Sensors,0.00%,
59S Portable UV Sanitizers 59S UVC LED Light Sterilizer Cabinet Blue,0.00%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
FURLORE  Premium  Luxury Pet Beds,0.00%,
Meagaome Organic Cotton Tshirts Men Mens Fashion Spring Summer Casual Henley Shirt Lapel Solid Color,0.00%,
Sony ULT FIELD 1 Wireless Portable Speaker,0.00%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0"
Batch 27 PreWorkout 40srv TC Nutrition,0.00%,
Kryptonite New York Fahgettaboudit Mini U Lock,0.00%,
Homemade meal replacement shake,0.00%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0"
Kryptonite Evolution ULock,0.00%,
Star Nutrition  Soy Proten Isolate  Vegan Protein Powders from Soy Beans,0.00%,
Roland TD07KV VDrums Electronic Drum Set,0.00%,
NativePath Native Hydrate Zero Sugar Electrolytes Powder with BCAAs,0.00%,
Bulk Vegan Protein Powder,0.00%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 59, 88, 74, 79, 88, 100, 77, 66, 70, 79, 78, 82, 64"
AirFryer Cookbook THE SUNDAY TIMES BESTSELLER Quick Healthy and Delicious Recipes for Beginners,0.00%,
VIVITEST Ceramic DiffusersStone Essential Oil Diffuser,0.00%,
AMG LUXE Luxury Mansions Private Jet Charter Exotic Car Rentals,0.00%,
Tie Dye 100 Organic Cotton Tshirts,0.00%,
Reusable Food Wraps,0.00%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
Endure Survival Kits,0.00%,
New York City For Dummies,0.00%,
HEMPFUL hemp clothing ,0.00%,
Smart Lighting Solutions,0.00%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 66, 87, 76, 50, 88, 58, 83, 96, 100, 63, 0, 0, 0"
Baby Carriers Australia,0.00%,
Wicca Sticker Book More Than 400 Magickal and Mystical Stickers,0.00%,
Nike Premier 3 FG,0.00%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 56, 74, 76, 56, 88, 51, 60, 43, 41, 92, 69, 75, 59"
Grafunkt  Luxury Designer Furniture Singapore,0.00%,
3600 Calorie Datrex Emergency Food,0.00%,
Mastercard Off  Omron JPN616T Arm Types Bluetooth Blood Pressure Monitors,0.00%,
Ten One Design Mountie Mount for Sidecar Large Tablets iPad Pro Portable Monitors Instant Second or ,0.00%,
Raw Nutrition Thavage Pre Workout,0.00%,
Herbal Supplement,0.00%,"54, 38, 53, 58, 100, 61, 84, 93, 72, 87, 86, 77, 86, 83, 65, 60, 49, 71, 80, 77, 73, 70, 58, 73, 70, 70, 71, 71, 70, 63, 69"
Solar Garden Lights LED Garden Lights Solar Night Lights Owl Shape SolarPowered Lawn Lamp,0.00%,
Bowsers Pet Beds,0.00%,
Bike Repair Tool Kits,0.00%,
Corsair K65 RGB Mini 60 Mechanical Gaming Keyboard,0.00%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0"
Posture Correctors,0.00%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 69, 71, 64, 90, 99, 74, 76, 88, 82, 89, 70, 69, 86"
Candlestick,0.00%,"98, 87, 75, 96, 95, 89, 90, 93, 73, 85, 88, 94, 91, 99, 91, 84, 73, 92, 89, 96, 92, 90, 79, 82, 100, 100, 100, 99, 94, 82, 84"
Small Engine Repair for Dummies,0.00%,
Sony Premium Splashproof Extra Bass Sports InEar Noisecanceling Headphones White,0.00%,
When a Killer Calls A Haunting Story of Murder Criminal Profiling and Justice in a Small Town,0.00%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0"
Magic Carpet Yoga Mats,0.00%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
Uncle Johns Top Secret Bathroom Reader For Kids Only Collectible Edition,0.00%,
Collectible Transformers Toys and Action Figures  TFSource,0.00%,
Logitech Z607 51 Surround Sound with Bluetooth Speakers,0.00%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0"
Landlording on AutoPilot A Simple NoBrainer System for Higher Profits Less Work and More Fun Do It A,0.00%,
nuphy Air75 V2 Portable 75 Mechanical KeyboardWireless KeyboardSupports Bluetooth24GUSBC RGB Bluetoo,0.00%,
3Plus Vibe Lite Smartwatch,0.00%,
UN92 Athleisure Wear,0.00%,
We Could Be Something,0.00%,"62, 42, 61, 41, 72, 85, 53, 56, 54, 52, 93, 79, 100, 88, 71, 37, 54, 72, 62, 72, 68, 63, 42, 50, 72, 71, 66, 64, 61, 43, 49"
Targus World Power Travel Adapter APK01US1,0.00%,
Financial Feminist Overcome the Patriarchys Bullsht to Master Your Money and Build a Life You Love,0.00%,
Wellue O2Ring Oxygen Monitor Pulse,0.00%,
Hasbro Marvel Legends Giant Man 6Inch Action Figure,0.00%,
Country 3 Pack Trio,0.00%,
Sylvanian Families Duck Triplets Nakayoshi Walk Set,0.00%,
A Better Day Journal Fun and Calming Activities for Positive Mental Health,0.00%,
Novel Antimicrobial Treatments Based on the Interaction of Gallic Acid and UV Light Characterization,0.00%,
Bottle Bright Cleaning Tablets,0.00%,
Forclaz Quechua 2040L Rain Cover For Hiking Backpacks,0.00%,
Nontoxic Housecleaning,0.00%,
Ktaxon 20ft Head Roof Rake Snow Removal Tools Extension Poly Blade Adjustable Telescoping Handle,0.00%,
Interior Designer,0.00%,"94, 86, 82, 100, 92, 96, 84, 91, 78, 84, 92, 99, 84, 90, 82, 91, 83, 95, 89, 90, 92, 86, 83, 87, 94, 91, 86, 85, 81, 79, 77"
GELATU Automatic Mechanical Wristwatch for Men Full Hollow Deep Waterproof Highend Watches Stainless,0.00%,
Blood Type A Food Beverage and Supplement Lists from Eat Right 4 Your Type,0.00%,
Freedom from Obsessivecompulsive Disorder A Personalized Recovery Program for Living with Uncertaint,0.00%,
Heather Stillufsen,0.00%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 67, 40, 42, 39, 51, 74, 100, 60, 30, 45, 71, 60, 63, 45"
GL Musical Instruments,0.00%,
Robot Vacuums Simulator  Version 10  iOS,0.00%,
Kpaloft Antifreezing Electromagnetic  Snow Removal Tools Interference Antifreeze Device,0.00%,
